"","Year","App.","Taxon","Class","Importer","Exporter","Term","Unit","Purpose","Source","Exportation.type","Exportation.number"
"36",2020,"I","Nepenthes spp.","Not applied","ZA","LK","live","Not applied","T","A","Exported",50
"37",2020,"I","Nepenthes hybrid","Not applied","CA","LK","live","Not applied","T","D","Exported",250
"38",2020,"I","Nepenthes hybrid","Not applied","GB","LK","live","Not applied","T","D","Exported",15500
"39",2020,"I","Nepenthes hybrid","Not applied","HK","LK","live","Not applied","T","A","Exported",70
"40",2020,"I","Nepenthes hybrid","Not applied","HK","LK","live","Not applied","T","D","Exported",1420
"41",2020,"I","Nepenthes hybrid","Not applied","JP","LK","live","Not applied","T","D","Exported",910
"42",2020,"I","Nepenthes hybrid","Not applied","KR","LK","live","Not applied","T","D","Exported",50
"43",2020,"I","Nepenthes hybrid","Not applied","MY","LK","live","Not applied","T","D","Exported",50
"44",2020,"I","Nepenthes hybrid","Not applied","SG","LK","live","Not applied","T","D","Exported",200
"45",2020,"I","Nepenthes hybrid","Not applied","TH","LK","live","Not applied","T","D","Exported",270
"46",2020,"I","Nepenthes hybrid","Not applied","US","LK","live","Not applied","T","D","Exported",2610
"47",2020,"I","Nepenthes rajah","Not applied","CA","LK","live","Not applied","T","D","Exported",70
"48",2020,"I","Nepenthes rajah","Not applied","GB","LK","live","Not applied","T","A","Exported",1000
"49",2020,"I","Nepenthes rajah","Not applied","GB","LK","live","Not applied","T","D","Exported",2000
"50",2020,"I","Nepenthes rajah","Not applied","HK","LK","live","Not applied","T","D","Exported",120
"51",2020,"I","Nepenthes rajah","Not applied","JP","LK","live","Not applied","T","D","Exported",120
"52",2020,"I","Nepenthes rajah","Not applied","TH","LK","live","Not applied","T","D","Exported",50
"53",2020,"I","Nepenthes rajah","Not applied","US","LK","live","Not applied","T","D","Exported",530
"54",2020,"I","Chlamydotis macqueenii","Aves","PK","AE","live","Not applied","N","C","Imported",5460
"55",2020,"I","Syrmaticus ellioti","Aves","BY","RU","live","Not applied","Z","C","Imported",3
"56",2020,"I","Anodorhynchus hyacinthinus","Aves","LK","BE","live","Not applied","B","C","Imported",1
"57",2020,"I","Ara glaucogularis","Aves","TT","US","live","Not applied","P","C","Imported",1
"58",2020,"I","Ara macao","Aves","PK","BE","live","Not applied","P","C","Imported",2
"59",2020,"I","Psittacus erithacus","Aves","GB","PK","live","Not applied","P","C","Exported",1
"60",2020,"I","Psittacus erithacus","Aves","LK","US","live","Not applied","B","C","Imported",1
"61",2020,"I","Psittacus erithacus","Aves","PK","SA","live","Not applied","P","C","Imported",1
"62",2020,"I","Psittacus erithacus","Aves","TR","IQ","live","Not applied","P","F","Exported",1
"63",2020,"I","Psittacus erithacus","Aves","TT","BB","live","Not applied","T","C","Imported",5
"64",2020,"I","Psittacus erithacus timneh","Aves","TT","CA","live","Not applied","P","C","Imported",1
"65",2020,"I","Diceros bicornis","Mammalia","ZA","RW","specimens","Not applied","S","W","Exported",14
"66",2020,"I","Rhinoceros spp.","Mammalia","ML","ZA","unspecified","Not applied","Not applied","Not applied","Imported",2
"67",2020,"I","Geochelone elegans","Reptilia","RU","LK","live","Not applied","T","C","Exported",3
"68",2020,"I","Tremarctos ornatus","Mammalia","GB","CO","specimens","Not applied","S","W","Exported",1
"69",2020,"II","Acipenser baerii","Actinopteri","AE","BY","caviar","kg","T","C","Exported",3.63
"70",2020,"II","Acipenser baerii","Actinopteri","AM","BY","caviar","kg","T","C","Exported",2.2
"71",2020,"II","Acipenser baerii","Actinopteri","AU","BY","caviar","kg","T","C","Exported",10
"72",2020,"II","Acipenser baerii","Actinopteri","AZ","BY","caviar","kg","T","C","Exported",18.64
"73",2020,"II","Acipenser baerii","Actinopteri","HK","BY","caviar","kg","T","C","Exported",6.66
"74",2020,"II","Acipenser baerii","Actinopteri","IT","BY","caviar","kg","T","C","Exported",10
"75",2020,"II","Acipenser baerii","Actinopteri","JO","BY","caviar","kg","T","C","Exported",10.2
"76",2020,"II","Acipenser baerii","Actinopteri","KG","BY","caviar","kg","T","C","Exported",30.1
"77",2020,"II","Acipenser baerii","Actinopteri","KZ","BY","caviar","kg","T","C","Exported",36.4
"78",2020,"II","Acipenser baerii","Actinopteri","LT","BY","caviar","kg","T","C","Exported",10.04
"79",2020,"II","Acipenser baerii","Actinopteri","MD","BY","caviar","kg","T","C","Exported",7.68
"80",2020,"II","Acipenser baerii","Actinopteri","MO","FR","caviar","kg","T","C","Imported",2.9
"81",2020,"II","Acipenser baerii","Actinopteri","NZ","BY","caviar","kg","T","C","Exported",128.7
"82",2020,"II","Acipenser baerii","Actinopteri","RU","BY","caviar","kg","T","C","Exported",700
"83",2020,"II","Acipenser baerii","Actinopteri","RU","BY","bodies","kg","T","C","Exported",504
"84",2020,"II","Acipenser baerii","Actinopteri","RU","BY","caviar","kg","T","C","Exported",255.39
"85",2020,"II","Acipenser baerii","Actinopteri","RU","BY","live","kg","T","C","Exported",22000
"86",2020,"II","Acipenser baerii","Actinopteri","RU","BY","live","Not applied","T","C","Exported",800
"87",2020,"II","Acipenser baerii","Actinopteri","SG","BY","caviar","kg","T","C","Exported",2.36
"88",2020,"II","Acipenser baerii","Actinopteri","UA","BY","caviar","kg","T","C","Exported",7.38
"89",2020,"II","Acipenser baerii","Actinopteri","US","BY","caviar","kg","T","C","Exported",2
"90",2020,"II","Acipenser baerii","Actinopteri","UZ","BY","caviar","kg","T","C","Exported",25.6
"91",2020,"II","Acipenser gueldenstaedtii","Actinopteri","AU","MD","caviar","kg","T","C","Exported",2.51
"92",2020,"II","Acipenser gueldenstaedtii","Actinopteri","DE","MD","caviar","kg","T","C","Exported",39.46
"93",2020,"II","Acipenser gueldenstaedtii","Actinopteri","IL","MD","caviar","kg","T","C","Exported",0.4
"94",2020,"II","Acipenser gueldenstaedtii","Actinopteri","JP","MD","caviar","kg","T","C","Exported",29.49
"95",2020,"II","Acipenser gueldenstaedtii","Actinopteri","MO","FR","caviar","kg","T","C","Imported",0.9
"96",2020,"II","Acipenser gueldenstaedtii","Actinopteri","UA","MD","caviar","kg","T","C","Exported",19
"97",2020,"II","Acipenser gueldenstaedtii","Actinopteri","UA","MD","meat","kg","T","C","Exported",11100
"98",2020,"II","Acipenser gueldenstaedtii","Actinopteri","US","MD","caviar","kg","T","C","Exported",15.76
"99",2020,"II","Acipenseridae hybrid","Actinopteri","AU","MD","caviar","kg","T","C","Exported",4.49
"100",2020,"II","Acipenseridae hybrid","Actinopteri","DE","MD","caviar","kg","T","C","Exported",47.58
"101",2020,"II","Acipenseridae hybrid","Actinopteri","IL","MD","caviar","kg","T","C","Exported",0.4
"102",2020,"II","Acipenseridae hybrid","Actinopteri","JP","MD","caviar","kg","T","C","Exported",27.416
"103",2020,"II","Acipenseridae hybrid","Actinopteri","RU","MD","meat","kg","T","C","Exported",12000
"104",2020,"II","Acipenseridae hybrid","Actinopteri","UA","MD","meat","kg","T","C","Exported",24750
"105",2020,"II","Acipenseridae hybrid","Actinopteri","US","MD","caviar","kg","T","C","Exported",11.79
"106",2020,"II","Acipenser ruthenus","Actinopteri","AE","BY","caviar","kg","T","C","Exported",3.05
"107",2020,"II","Acipenser ruthenus","Actinopteri","AM","BY","caviar","kg","T","C","Exported",5
"108",2020,"II","Acipenser ruthenus","Actinopteri","AU","MD","caviar","kg","T","C","Exported",2.49
"109",2020,"II","Acipenser ruthenus","Actinopteri","BG","BY","caviar","kg","T","C","Exported",20.1
"110",2020,"II","Acipenser ruthenus","Actinopteri","CH","BY","caviar","kg","T","C","Exported",7
"111",2020,"II","Acipenser ruthenus","Actinopteri","DE","MD","caviar","kg","T","C","Exported",15.29
"112",2020,"II","Acipenser ruthenus","Actinopteri","HK","BY","caviar","kg","T","C","Exported",0.6
"113",2020,"II","Acipenser ruthenus","Actinopteri","IT","BY","caviar","kg","T","C","Exported",1.71
"114",2020,"II","Acipenser ruthenus","Actinopteri","JP","MD","caviar","kg","T","C","Exported",26.602
"115",2020,"II","Acipenser ruthenus","Actinopteri","KZ","BY","caviar","kg","T","C","Exported",1.8
"116",2020,"II","Acipenser ruthenus","Actinopteri","LU","BY","caviar","kg","T","C","Exported",2.1
"117",2020,"II","Acipenser ruthenus","Actinopteri","MD","BY","caviar","kg","T","C","Exported",1.5
"118",2020,"II","Acipenser ruthenus","Actinopteri","NZ","BY","caviar","kg","T","C","Exported",12.3
"119",2020,"II","Acipenser ruthenus","Actinopteri","RU","BY","caviar","kg","T","C","Exported",62.1
"120",2020,"II","Acipenser ruthenus","Actinopteri","RU","BY","live","kg","T","C","Exported",3000
"121",2020,"II","Acipenser ruthenus","Actinopteri","SG","BY","caviar","kg","T","C","Exported",3
"122",2020,"II","Acipenser ruthenus","Actinopteri","UA","MD","caviar","kg","T","C","Exported",100
"123",2020,"II","Acipenser ruthenus","Actinopteri","US","MD","caviar","kg","T","C","Exported",11.6
"124",2020,"II","Acipenser ruthenus","Actinopteri","UZ","BY","caviar","kg","T","C","Exported",2.25
"125",2020,"II","Huso huso","Actinopteri","AU","MD","caviar","kg","T","C","Exported",0.51
"126",2020,"II","Huso huso","Actinopteri","DE","MD","caviar","kg","T","C","Exported",31.1
"127",2020,"II","Huso huso","Actinopteri","GB","MD","meat","kg","T","C","Exported",2700
"128",2020,"II","Huso huso","Actinopteri","IL","MD","caviar","kg","T","C","Exported",0.2
"129",2020,"II","Huso huso","Actinopteri","JP","MD","caviar","kg","T","C","Exported",27.786
"130",2020,"II","Huso huso","Actinopteri","MO","FR","caviar","kg","T","C","Imported",0.9
"131",2020,"II","Huso huso","Actinopteri","RU","BY","live","kg","T","C","Exported",10000
"132",2020,"II","Huso huso","Actinopteri","UA","MD","caviar","kg","T","C","Exported",15.5
"133",2020,"II","Huso huso","Actinopteri","UA","MD","meat","kg","T","C","Exported",13950
"134",2020,"II","Acropora nana","Anthozoa","LK","VN","live","Not applied","B","C","Imported",750
"135",2020,"II","Acropora spathulata","Anthozoa","LK","VN","live","Not applied","T","C","Imported",20
"136",2020,"II","Uromastyx geyri","Reptilia","GH","ML","live","Not applied","Not applied","Not applied","Exported",2400
"137",2020,"II","Uromastyx geyri","Reptilia","HK","ML","live","Not applied","Not applied","Not applied","Exported",100
"138",2020,"II","Uromastyx geyri","Reptilia","TG","ML","live","Not applied","Not applied","Not applied","Exported",2500
"139",2020,"II","Alligator mississippiensis","Reptilia","FR","MG","leather products (small)","Not applied","T","W","Exported",142
"140",2020,"II","Alligator mississippiensis","Reptilia","LK","US","specimens","Not applied","M","W","Imported",32
"141",2020,"II","Alligator mississippiensis","Reptilia","MO","CH","leather products (small)","Not applied","T","C","Imported",1
"142",2020,"II","Alligator mississippiensis","Reptilia","MO","CH","leather products (small)","Not applied","T","W","Imported",6
